               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077407,            0.072362,                   0,          0.00074074,                 0.2,          0.00062856,          6.2856e-05,            0.026913,            0.035544,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.070209,            0.052588,                   0,               0.003,                 0.9,            0.055622,            0.011267,            0.020148,            0.020243,                   0,            0.068483,           0.0034827,           0.0034827
                   2,            0.061488,            0.037919,                   0,           0.0033333,                   1,             0.16065,            0.043173,            0.020533,            0.010976,                   0,            0.052248,           0.0052475,           0.0052475
                   3,            0.052662,            0.033423,                   0,              0.2183,                 0.9,             0.68881,             0.17518,            0.018625,           0.0081429,                   0,            0.035995,           0.0069946,           0.0069946
                   4,            0.045104,            0.023821,                   0,               0.003,                 0.9,            0.020349,           0.0045892,            0.037789,           0.0062506,                   0,            0.019724,           0.0087238,           0.0087238
                   5,            0.056722,            0.023668,                   0,            0.026942,                 0.8,              0.1038,            0.025891,            0.029609,           0.0057619,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.046631,            0.021153,                   0,            0.012786,                   1,             0.27535,            0.065562,            0.028333,           0.0045948,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.059903,            0.021288,                   0,            0.021543,                 0.7,              0.1033,             0.02581,            0.030809,           0.0048039,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.049468,            0.017346,                   0,           0.0041169,                   1,            0.083055,             0.01915,            0.028541,           0.0042927,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.052048,            0.021158,                   0,           0.0051073,                   1,            0.092265,            0.039039,            0.028047,           0.0041864,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.046597,            0.024007,                   0,             0.23569,             0.43291,             0.23168,            0.090774,            0.026263,           0.0043688,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043846,            0.016163,                   0,             0.51684,                 0.5,             0.47727,             0.12597,            0.027551,           0.0036912,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.04757,            0.018574,                   0,              0.3977,                 0.8,             0.53464,             0.16568,             0.02055,           0.0041249,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049396,            0.023499,                   0,              0.3152,                 0.8,             0.53777,             0.19858,            0.017179,           0.0046544,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.048591,            0.022551,                   0,             0.42018,                 0.6,             0.52669,             0.18376,            0.016114,            0.004425,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.04787,            0.019318,                   0,             0.57843,                 0.7,             0.51289,             0.20304,            0.021971,           0.0037239,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.046854,            0.020232,                   0,             0.71411,                   1,             0.87596,             0.20186,            0.021229,           0.0044396,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.040229,            0.018041,                   0,             0.81633,              0.8898,             0.93932,             0.33957,            0.013429,           0.0058079,                   0,            0.009208,            0.009208,            0.009208
                  18,              0.0416,            0.020078,                   0,             0.76125,                 0.7,             0.87931,              0.3719,            0.012417,           0.0057473,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.040209,            0.017179,                   0,             0.82623,             0.95311,             0.96833,             0.29159,            0.016587,           0.0040939,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.035973,            0.015576,                   0,             0.92296,                 0.9,             0.97192,             0.36875,             0.01346,           0.0043089,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030421,            0.018312,                   0,             0.48899,                 0.6,             0.45805,             0.10042,            0.020954,           0.0050938,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.038544,            0.018954,                   0,             0.53989,                 0.7,             0.64634,              0.2602,            0.012314,           0.0065393,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032719,            0.019302,                   0,             0.69135,             0.67404,              0.8603,              0.4158,            0.011286,           0.0055397,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.037196,            0.017975,                   0,             0.27926,                 0.5,             0.37592,             0.12376,            0.017735,           0.0049555,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035549,            0.019192,                   0,             0.31218,                 0.5,             0.38792,             0.18414,            0.014026,           0.0051925,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.032272,            0.016226,                   0,             0.16476,                 0.6,             0.16672,            0.039047,            0.022524,           0.0043864,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039797,            0.016708,                   0,             0.55088,             0.86014,              0.6074,             0.29631,            0.010934,           0.0045538,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.035429,            0.018822,                   0,             0.51888,                 0.5,             0.47104,             0.12356,            0.017503,           0.0049424,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.037433,            0.017802,                   0,             0.56058,                 0.5,              0.6037,             0.24745,            0.011965,           0.0054822,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.032179,            0.016107,                   0,              0.5612,                 0.6,             0.57237,             0.22541,            0.011455,           0.0063012,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.031437,            0.018791,                   0,             0.67741,             0.63223,             0.76828,             0.27882,            0.011906,           0.0058391,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.028744,            0.016443,                   0,             0.85974,                 0.6,              0.8725,             0.41683,            0.013345,           0.0046749,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.030795,            0.016395,                   0,             0.78729,                 0.8,             0.89262,             0.41805,            0.012714,           0.0046325,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.039762,            0.020083,                   0,             0.77467,                 0.9,             0.88501,             0.43276,            0.011093,           0.0047278,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.033338,            0.017393,                   0,             0.95845,                 0.9,             0.95382,             0.43211,            0.010759,           0.0043697,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.036744,            0.019169,                   0,             0.61295,                 0.9,             0.73786,             0.41643,              0.0102,           0.0046751,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030667,            0.019844,                   0,             0.63038,                 0.9,             0.78083,             0.35833,            0.010678,           0.0043046,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.029325,            0.017002,                   0,             0.77605,                 0.7,             0.88001,             0.49248,             0.00974,           0.0041947,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033369,            0.016808,                   0,             0.76193,             0.96205,             0.86295,             0.37273,            0.011203,           0.0042193,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.029554,            0.015881,                   0,             0.83078,             0.98315,              0.9075,             0.44219,            0.011994,           0.0046997,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027029,            0.019884,                   0,             0.71595,                 0.9,              0.9125,             0.39398,            0.010706,           0.0052717,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.028901,            0.014478,                   0,             0.89698,              0.8728,             0.93763,             0.42396,            0.011933,           0.0042901,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025249,             0.01483,                   0,                   1,             0.69115,               0.995,             0.39968,            0.015511,           0.0040658,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.027355,            0.016381,                   0,             0.87449,                 0.8,             0.92662,             0.40916,            0.010559,           0.0049844,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.033102,            0.016219,                   0,             0.88115,                 0.7,             0.95833,             0.44518,            0.011557,            0.004648,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.027852,            0.015437,                   0,             0.80431,             0.82372,             0.91056,             0.42047,           0.0096268,           0.0046651,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039313,            0.015492,                   0,                   1,              0.6945,             0.97192,              0.4666,            0.012655,           0.0040073,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.029865,            0.016177,                   0,             0.77965,                   1,             0.91405,             0.39956,            0.010314,           0.0042729,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031949,            0.017509,                   0,              0.8929,                 0.9,             0.94833,             0.44999,             0.01079,           0.0040231,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.025087,            0.015322,                   0,             0.87999,                   1,               0.995,             0.50876,            0.010789,           0.0038552,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025941,            0.014289,                   0,             0.90233,             0.92566,             0.98591,             0.50063,            0.010014,           0.0038435,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.028667,            0.015325,                   0,             0.89701,             0.87309,             0.95864,             0.40939,            0.012478,           0.0037239,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.027951,            0.013609,                   0,                   1,             0.94274,               0.995,             0.48794,           0.0090223,           0.0040309,                   0,            0.007426,            0.007426,            0.007426
                  54,             0.02489,            0.015548,                   0,              0.6539,                 0.8,             0.78914,             0.40225,           0.0093597,           0.0043082,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.023634,             0.01411,                   0,             0.62742,                 0.8,             0.76282,             0.35529,            0.010652,           0.0044219,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.029469,            0.014571,                   0,             0.52262,                 0.7,             0.73337,             0.28952,            0.010589,           0.0046387,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028171,            0.013651,                   0,             0.59403,                 0.8,             0.73749,             0.37514,            0.010934,           0.0044689,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.026263,            0.015828,                   0,             0.70309,                 0.8,              0.8984,             0.50802,           0.0091135,           0.0043862,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022704,            0.015959,                   0,             0.81384,                   1,             0.93833,             0.51195,           0.0091845,           0.0046167,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.025299,            0.014288,                   0,              0.8753,                   1,             0.97682,             0.48764,           0.0097283,           0.0043969,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.025555,            0.014401,                   0,             0.92143,                   1,               0.995,             0.56189,           0.0082579,           0.0041738,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.022276,             0.01403,                   0,             0.90918,                 0.8,             0.96833,             0.58666,           0.0072388,           0.0038085,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029405,            0.014691,                   0,             0.76589,                   1,             0.93192,             0.50434,           0.0094418,           0.0036464,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.024822,            0.016172,                   0,             0.82021,             0.91337,             0.92833,             0.52692,            0.010248,           0.0035071,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021841,            0.014245,                   0,             0.73523,                   1,              0.9075,             0.53737,           0.0085597,           0.0034626,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.024661,            0.016537,                   0,             0.79936,                 0.9,             0.97192,             0.49589,            0.011506,           0.0033557,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02096,            0.012798,                   0,                   1,             0.83762,               0.995,             0.59175,           0.0084485,           0.0036583,                   0,            0.006733,            0.006733,            0.006733
                  68,             0.01849,            0.013021,                   0,              0.7237,                 0.8,             0.93786,             0.59224,           0.0076722,           0.0037482,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.019764,            0.013929,                   0,             0.72855,                   1,             0.92833,             0.48757,           0.0089699,           0.0037539,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.022702,            0.014084,                   0,             0.87643,                   1,             0.96773,             0.52598,           0.0092791,           0.0038364,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024465,            0.012871,                   0,             0.99855,                   1,               0.995,             0.58529,           0.0087396,           0.0039554,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.021029,            0.014078,                   0,             0.95914,                   1,               0.995,              0.5869,           0.0078733,            0.003999,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021507,            0.012769,                   0,             0.89581,                   1,               0.995,             0.52108,            0.010166,           0.0038555,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.02401,            0.013654,                   0,             0.90417,             0.94588,             0.98591,             0.63709,           0.0068576,           0.0040505,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022249,            0.012549,                   0,             0.82135,             0.92088,             0.97833,             0.62175,           0.0074033,           0.0039582,                   0,            0.006337,            0.006337,            0.006337
